epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,9926.22,0.64747,0.36223,0.80047,0.94859,0.83562,0.90427,0.75266,0.72019,0.34884,0.80281,4.58524e-05,4.58524e-05,4.58524e-05
86,10042.7,0.64749,0.36122,0.80143,0.95253,0.83318,0.90385,0.75058,0.72532,0.35037,0.80318,4.57435e-05,4.57435e-05,4.57435e-05
87,10159.3,0.64954,0.36353,0.80098,0.94223,0.83748,0.90284,0.74636,0.75485,0.35776,0.80425,4.56346e-05,4.56346e-05,4.56346e-05
88,10275.8,0.64438,0.36057,0.80076,0.94683,0.83867,0.9037,0.75707,0.70722,0.34506,0.80238,4.55257e-05,4.55257e-05,4.55257e-05
89,10392.4,0.64139,0.35856,0.8005,0.93921,0.84277,0.90446,0.75794,0.70583,0.34455,0.80214,4.54168e-05,4.54168e-05,4.54168e-05
90,10509.1,0.64655,0.36135,0.80112,0.94899,0.83486,0.90495,0.75176,0.72593,0.34814,0.80271,4.53079e-05,4.53079e-05,4.53079e-05
91,10626,0.6401,0.3574,0.8001,0.93884,0.83963,0.90356,0.74969,0.73772,0.35151,0.8031,4.5199e-05,4.5199e-05,4.5199e-05
92,10742.9,0.64066,0.35911,0.80044,0.94273,0.83834,0.9044,0.75152,0.7157,0.34705,0.80201,4.50901e-05,4.50901e-05,4.50901e-05
93,10859.4,0.63274,0.35329,0.79921,0.94338,0.84177,0.90519,0.75149,0.72254,0.34659,0.80237,4.49812e-05,4.49812e-05,4.49812e-05
94,10976.2,0.63535,0.35513,0.79981,0.94522,0.84361,0.90749,0.75128,0.73001,0.3492,0.80213,4.48723e-05,4.48723e-05,4.48723e-05
95,11092.4,0.63132,0.35369,0.79997,0.94574,0.84402,0.90733,0.75579,0.70937,0.34288,0.80114,4.47634e-05,4.47634e-05,4.47634e-05
96,11208.7,0.62841,0.35122,0.80035,0.94787,0.84099,0.90656,0.75483,0.71725,0.34419,0.80136,4.46545e-05,4.46545e-05,4.46545e-05
97,11325.5,0.6315,0.35207,0.79917,0.94483,0.84467,0.90547,0.7528,0.72821,0.34604,0.80214,4.45456e-05,4.45456e-05,4.45456e-05
98,11442,0.62903,0.35069,0.79824,0.95024,0.84069,0.90573,0.74676,0.75992,0.35342,0.80264,4.44367e-05,4.44367e-05,4.44367e-05
99,11558.6,0.63018,0.35023,0.7992,0.95224,0.8414,0.90731,0.75413,0.73223,0.34594,0.80229,4.43278e-05,4.43278e-05,4.43278e-05
100,11675.2,0.62496,0.34858,0.79819,0.94391,0.84364,0.90684,0.75705,0.7051,0.33957,0.80039,4.42189e-05,4.42189e-05,4.42189e-05
101,11791.8,0.62297,0.3489,0.79817,0.94369,0.84026,0.90399,0.74398,0.74435,0.34926,0.80269,4.411e-05,4.411e-05,4.411e-05
102,11908.1,0.6236,0.34732,0.79833,0.95466,0.83817,0.90726,0.75444,0.72199,0.34242,0.80134,4.40011e-05,4.40011e-05,4.40011e-05
103,12024.7,0.62453,0.34743,0.79777,0.95004,0.84407,0.90832,0.75985,0.69782,0.33634,0.80003,4.38922e-05,4.38922e-05,4.38922e-05
104,12141.2,0.61905,0.34571,0.79785,0.95012,0.84004,0.90684,0.75818,0.68742,0.33346,0.79997,4.37833e-05,4.37833e-05,4.37833e-05
105,12257.5,0.61331,0.34262,0.79805,0.94902,0.8469,0.90838,0.76268,0.68217,0.33194,0.79917,4.36744e-05,4.36744e-05,4.36744e-05
106,12373.9,0.61357,0.34504,0.79862,0.95384,0.83866,0.90806,0.76388,0.68105,0.33213,0.79934,4.35655e-05,4.35655e-05,4.35655e-05
107,12490.4,0.61536,0.34423,0.79841,0.9479,0.84201,0.90749,0.75331,0.72613,0.34259,0.80115,4.34566e-05,4.34566e-05,4.34566e-05
108,12607.1,0.61441,0.34163,0.79642,0.95692,0.8406,0.90947,0.75928,0.72212,0.34026,0.80063,4.33477e-05,4.33477e-05,4.33477e-05
109,12723.7,0.61235,0.34282,0.79761,0.94081,0.84923,0.90903,0.75832,0.72216,0.33992,0.80077,4.32388e-05,4.32388e-05,4.32388e-05
110,12840.2,0.61153,0.34183,0.7964,0.95397,0.84151,0.90894,0.75299,0.73207,0.34307,0.80115,4.31299e-05,4.31299e-05,4.31299e-05
111,12956.8,0.61333,0.34247,0.79684,0.95685,0.84389,0.91125,0.76042,0.70415,0.33605,0.79989,4.3021e-05,4.3021e-05,4.3021e-05
112,13073.3,0.60695,0.33926,0.79587,0.95223,0.84308,0.9089,0.75545,0.72442,0.34018,0.80043,4.29121e-05,4.29121e-05,4.29121e-05
113,13190,0.60954,0.33995,0.79621,0.95055,0.84992,0.91233,0.76163,0.70403,0.33493,0.79956,4.28032e-05,4.28032e-05,4.28032e-05
114,13306.6,0.60894,0.33799,0.79687,0.94844,0.84904,0.91122,0.75447,0.72901,0.34028,0.80037,4.26943e-05,4.26943e-05,4.26943e-05
