epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,9986.55,0.40866,0.25723,0.78168,0.89733,0.78888,0.86112,0.69601,0.74644,0.37166,0.80935,4.35655e-05,4.35655e-05,4.35655e-05
107,10081.8,0.40079,0.25309,0.78049,0.88497,0.78779,0.8573,0.68344,0.78746,0.37765,0.81138,4.34566e-05,4.34566e-05,4.34566e-05
108,10175,0.39845,0.25146,0.78073,0.90561,0.7793,0.85682,0.68697,0.77025,0.37464,0.81051,4.33477e-05,4.33477e-05,4.33477e-05
109,10268.2,0.39235,0.25022,0.78068,0.90568,0.78555,0.86279,0.69275,0.75725,0.36956,0.81053,4.32388e-05,4.32388e-05,4.32388e-05
110,10361.1,0.39657,0.25146,0.78044,0.90382,0.78544,0.86242,0.69402,0.76808,0.37335,0.80997,4.31299e-05,4.31299e-05,4.31299e-05
111,10454.3,0.40166,0.25356,0.78073,0.90527,0.7792,0.86146,0.69272,0.76619,0.37326,0.81059,4.3021e-05,4.3021e-05,4.3021e-05
112,10547.3,0.40082,0.25243,0.78088,0.89179,0.7808,0.85688,0.69654,0.73363,0.36494,0.8087,4.29121e-05,4.29121e-05,4.29121e-05
113,10642.5,0.39369,0.25024,0.78065,0.89527,0.7784,0.85718,0.68465,0.78362,0.37606,0.81107,4.28032e-05,4.28032e-05,4.28032e-05
114,10735.4,0.3917,0.24928,0.78031,0.8995,0.78202,0.85784,0.69435,0.74619,0.3672,0.80888,4.26943e-05,4.26943e-05,4.26943e-05
115,10828.6,0.3921,0.248,0.77976,0.89886,0.78455,0.86246,0.69484,0.7552,0.36868,0.8095,4.25854e-05,4.25854e-05,4.25854e-05
116,10921.7,0.38941,0.24756,0.77955,0.89698,0.77897,0.86005,0.69703,0.73847,0.36399,0.80873,4.24765e-05,4.24765e-05,4.24765e-05
117,11017.2,0.39577,0.25008,0.77983,0.9,0.78015,0.85868,0.69525,0.74996,0.36797,0.80906,4.23676e-05,4.23676e-05,4.23676e-05
118,11110.5,0.39639,0.25065,0.78036,0.8881,0.78662,0.85966,0.69537,0.74923,0.36596,0.809,4.22587e-05,4.22587e-05,4.22587e-05
119,11203.4,0.39064,0.24675,0.77976,0.90985,0.78333,0.86197,0.69527,0.76343,0.36869,0.80944,4.21498e-05,4.21498e-05,4.21498e-05
120,11296.4,0.38783,0.24685,0.78039,0.89868,0.78113,0.8585,0.69202,0.77133,0.37447,0.80978,4.20409e-05,4.20409e-05,4.20409e-05
121,11389.3,0.38606,0.24571,0.7802,0.90131,0.78518,0.86246,0.69757,0.74543,0.36436,0.80797,4.1932e-05,4.1932e-05,4.1932e-05
122,11484.9,0.38846,0.24686,0.77943,0.90398,0.78521,0.86053,0.69204,0.7711,0.3702,0.80947,4.18231e-05,4.18231e-05,4.18231e-05
123,11578.1,0.38592,0.24445,0.77897,0.89419,0.79425,0.86335,0.69832,0.75599,0.36492,0.80844,4.17142e-05,4.17142e-05,4.17142e-05
124,11673.3,0.38887,0.2451,0.77988,0.90047,0.78986,0.86486,0.69954,0.74536,0.36206,0.80802,4.16053e-05,4.16053e-05,4.16053e-05
125,11768.6,0.38179,0.24224,0.77974,0.90163,0.78498,0.86197,0.69703,0.75315,0.3665,0.80907,4.14964e-05,4.14964e-05,4.14964e-05
126,11862,0.38913,0.24479,0.77943,0.90976,0.78149,0.86432,0.70107,0.73357,0.35962,0.80807,4.13875e-05,4.13875e-05,4.13875e-05
127,11957.3,0.3829,0.24302,0.779,0.89101,0.7901,0.86401,0.70184,0.74539,0.36214,0.80804,4.12786e-05,4.12786e-05,4.12786e-05
128,12052.9,0.38478,0.2439,0.7792,0.90198,0.7889,0.86548,0.70347,0.73287,0.35917,0.80773,4.11697e-05,4.11697e-05,4.11697e-05
129,12148.2,0.38133,0.24167,0.77797,0.89596,0.79179,0.86313,0.70067,0.74519,0.36184,0.80794,4.10608e-05,4.10608e-05,4.10608e-05
130,12241.4,0.38357,0.24266,0.77914,0.8952,0.78876,0.86543,0.70372,0.72365,0.35851,0.80754,4.09519e-05,4.09519e-05,4.09519e-05
131,12336.7,0.37663,0.24027,0.77899,0.91155,0.78305,0.86562,0.70367,0.74371,0.36214,0.80802,4.0843e-05,4.0843e-05,4.0843e-05
132,12429.8,0.37211,0.23814,0.77795,0.90354,0.79398,0.86843,0.70597,0.73539,0.36104,0.80708,4.07341e-05,4.07341e-05,4.07341e-05
133,12525.1,0.38408,0.24365,0.7792,0.90826,0.78127,0.86337,0.70014,0.73943,0.3599,0.80713,4.06252e-05,4.06252e-05,4.06252e-05
134,12618.3,0.38114,0.24151,0.77886,0.89746,0.79998,0.8704,0.70803,0.72929,0.35675,0.80676,4.05163e-05,4.05163e-05,4.05163e-05
135,12713.5,0.3856,0.243,0.77905,0.90572,0.79085,0.86595,0.70403,0.7367,0.35981,0.80725,4.04074e-05,4.04074e-05,4.04074e-05
136,12806.8,0.38067,0.2413,0.77804,0.90553,0.79116,0.86662,0.70773,0.72069,0.35476,0.80608,4.02985e-05,4.02985e-05,4.02985e-05
137,12900.1,0.38107,0.24174,0.77791,0.89598,0.79216,0.86316,0.69847,0.74755,0.36219,0.80752,4.01896e-05,4.01896e-05,4.01896e-05
138,12993.2,0.3768,0.24022,0.77889,0.90007,0.79466,0.86579,0.70328,0.73288,0.35694,0.80712,4.00807e-05,4.00807e-05,4.00807e-05
139,13086.3,0.38043,0.24118,0.77858,0.90473,0.78715,0.8649,0.70529,0.72555,0.35601,0.80682,3.99718e-05,3.99718e-05,3.99718e-05
140,13179.2,0.37322,0.23857,0.77804,0.90135,0.79356,0.86807,0.70936,0.71596,0.35321,0.80604,3.98629e-05,3.98629e-05,3.98629e-05
141,13274.7,0.38145,0.24175,0.77847,0.90594,0.79154,0.86554,0.70354,0.7394,0.35767,0.80731,3.9754e-05,3.9754e-05,3.9754e-05
142,13367.7,0.37665,0.23981,0.7785,0.90832,0.78364,0.86325,0.70693,0.71989,0.35549,0.80595,3.96451e-05,3.96451e-05,3.96451e-05
143,13460.7,0.37401,0.23777,0.77815,0.90118,0.79389,0.86638,0.70664,0.72111,0.35342,0.80639,3.95362e-05,3.95362e-05,3.95362e-05
144,13553.8,0.36942,0.23617,0.77815,0.90443,0.79248,0.86823,0.70795,0.7389,0.35741,0.80694,3.94273e-05,3.94273e-05,3.94273e-05
145,13646.8,0.38244,0.24024,0.77823,0.90425,0.79533,0.86902,0.71043,0.71446,0.35202,0.80588,3.93184e-05,3.93184e-05,3.93184e-05
146,13742.2,0.37114,0.23538,0.77763,0.90354,0.79817,0.87042,0.71286,0.71708,0.35145,0.80531,3.92095e-05,3.92095e-05,3.92095e-05
147,13837.6,0.36909,0.23569,0.77773,0.91461,0.79213,0.86887,0.71002,0.72425,0.35369,0.80569,3.91006e-05,3.91006e-05,3.91006e-05
148,13930.7,0.37073,0.2362,0.7776,0.91263,0.78829,0.86717,0.70801,0.72602,0.35359,0.80605,3.89917e-05,3.89917e-05,3.89917e-05
149,14024,0.37195,0.23677,0.77744,0.91126,0.79114,0.86664,0.70798,0.72745,0.3532,0.80595,3.88828e-05,3.88828e-05,3.88828e-05
150,14117.2,0.36313,0.23162,0.77768,0.90881,0.79519,0.86825,0.7096,0.72629,0.3519,0.80597,3.87739e-05,3.87739e-05,3.87739e-05
151,14210.4,0.37076,0.2349,0.77673,0.91901,0.792,0.87067,0.71181,0.7147,0.34934,0.8052,3.8665e-05,3.8665e-05,3.8665e-05
152,14303.5,0.36821,0.23442,0.77752,0.9193,0.79368,0.87314,0.71462,0.7128,0.34902,0.80491,3.85561e-05,3.85561e-05,3.85561e-05
153,14398.9,0.3708,0.23552,0.77729,0.90452,0.79943,0.87072,0.71156,0.71685,0.34966,0.80494,3.84472e-05,3.84472e-05,3.84472e-05
154,14492.1,0.36695,0.23354,0.77739,0.90968,0.79481,0.87027,0.70843,0.72662,0.35122,0.80582,3.83383e-05,3.83383e-05,3.83383e-05
155,14585.1,0.36931,0.2351,0.77757,0.91338,0.79978,0.87297,0.71726,0.70956,0.34603,0.8044,3.82294e-05,3.82294e-05,3.82294e-05
156,14680.4,0.36579,0.23318,0.77743,0.91027,0.7993,0.87219,0.71571,0.71361,0.34795,0.80509,3.81205e-05,3.81205e-05,3.81205e-05
157,14773.6,0.36898,0.23439,0.77665,0.90702,0.78986,0.8705,0.71098,0.71954,0.34911,0.80539,3.80116e-05,3.80116e-05,3.80116e-05
158,14866.6,0.3635,0.23152,0.77634,0.90867,0.79648,0.87044,0.71458,0.70783,0.34562,0.8045,3.79027e-05,3.79027e-05,3.79027e-05
159,14959.8,0.36394,0.23084,0.77656,0.91154,0.79963,0.8721,0.71496,0.7113,0.34709,0.80471,3.77938e-05,3.77938e-05,3.77938e-05
160,15052.9,0.3592,0.23013,0.77746,0.91117,0.79697,0.87113,0.71524,0.70929,0.34619,0.8044,3.76849e-05,3.76849e-05,3.76849e-05
161,15145.9,0.36803,0.23362,0.77676,0.90011,0.80431,0.87111,0.7142,0.70931,0.34563,0.80461,3.7576e-05,3.7576e-05,3.7576e-05
162,15239.1,0.36052,0.23084,0.77663,0.9118,0.79819,0.87295,0.71661,0.70474,0.34374,0.80436,3.74671e-05,3.74671e-05,3.74671e-05
163,15332.3,0.36375,0.2322,0.77644,0.91334,0.79663,0.87233,0.71716,0.70309,0.34455,0.80395,3.73582e-05,3.73582e-05,3.73582e-05
164,15425.2,0.3621,0.23098,0.77613,0.91024,0.79451,0.87004,0.71185,0.71867,0.34811,0.80485,3.72493e-05,3.72493e-05,3.72493e-05
165,15518.2,0.36458,0.23197,0.77749,0.91173,0.79411,0.87103,0.71422,0.71138,0.34483,0.80424,3.71404e-05,3.71404e-05,3.71404e-05
166,15611.2,0.35721,0.2285,0.77709,0.9278,0.78826,0.87479,0.71834,0.70126,0.34176,0.80387,3.70315e-05,3.70315e-05,3.70315e-05
167,15706.5,0.35369,0.22748,0.77631,0.9234,0.79451,0.87346,0.71761,0.70974,0.34388,0.80428,3.69226e-05,3.69226e-05,3.69226e-05
